anti-constitutional	ANTI CONSTITUTIONAL
ineligibility	INELIGIBILITY
inequalities	INEQUALITIES
inequitable	INEQUITABLE
inequities	INEQUITIES
inequity	INEQUITY
inestimable	INESTIMABLE
inextricably	INEXTRICABLY
infc	INFC
infeasible	INFEASIBLE
infectivity	INFECTIVITY
infiltrators	INFILTRATORS
inflexibility	INFLEXIBILITY
inflows	INFLOWS
info	INFO
infocap	INFOCAP
informals	INFORMALS
informatics	INFORMATICS
information-gathering	INFORMATION GATHERING
information-sharing	INFORMATION SHARING
informatization	INFORMATIZATION
informers	INFORMERS
infoway	INFOWAY
infractions	INFRACTIONS
infrastructure	INFRASTRUCTURE
infrastructures	INFRASTRUCTURE +(s)
infringe	INFRINGE
infringed	INFRINGE +(d)
infringers	INFRINGERS
ingc	INGC
ingos	INGOS
ingrained	INGRAINED
inhabitant	INHABITANT
inhale	INHALE
inhumanity	INHUMANITY
ini	INI
initialization	INITIALIZATION
initialized	INITIALIZATION +(ed)
initialled	INITIALLED
initiatives	INITIATIVES
initiators	INITIATORS
injections	INJECTIONS
injector	INJECTOR
injure	INJURE
inm	INM
inmd	INM +(d)
inmha	INMHA
innocuous	INNOCUOUS
innovating	INNOVATING
innovative	INNOVATIVE
innovativeness	INNOVATIVENESS
inoffensive	INOFFENSIVE
inoperative	INOPERATIVE
inpi	INPI
inputs	INPUTS
ins	INS
inscribe	INSCRIBE
insee	INSEE
inseparably	INSEPARABLY
inserting	INSERTING
insignia	INSIGNIA
insistently	INSISTENTLY
insolvencies	INSOLVENCIES
insolvency	INSOLVENCY
insolvent	INSOLVENT
inspectorate	INSPECTORATE
inspectors	INSPECTORS
instable	INSTABLE
installs	INSTALL* +(s)
instalment	INSTALMENT
institution-building	INSTITUTION BUILDING
institutionalise	INSTITUTIONALISE
institutionalised	INSTITUTIONALISE +(d)
instraw	INSTRAW
insufferable	INSUFFERABLE
insufficiency	INSUFFICIENCY
insupportable	INSUPPORTABLE
